date,hour,end_hour,start_station_id,end_station_id,day_type,trips
2018-10-05,11,12,248,259,1,1
2018-10-05,11,12,249,171,1,2
2018-10-05,11,12,249,260,1,1
2018-10-05,11,12,250,261,1,1
2018-10-05,11,12,260,183,1,1
2018-10-05,11,12,260,249,1,1
2018-10-05,11,12,265,253,1,1
2018-10-05,11,13,247,248,1,1
2018-10-05,11,13,257,225,1,1
2018-10-05,11,13,257,250,1,2
2018-10-05,11,13,265,247,1,2
2018-10-05,12,13,247,259,1,1
2018-10-05,12,13,248,259,1,1
2018-10-05,12,13,259,249,1,1
2018-10-05,12,13,261,262,1,1
2018-10-05,12,13,262,261,1,1
2018-10-05,12,14,225,257,1,1
2018-10-05,12,14,259,261,1,1
2018-10-05,12,14,275,246,1,1
2018-10-05,13,14,171,261,1,1
2018-10-05,13,14,254,262,1,1
2018-10-05,13,14,258,259,1,2
2018-10-05,13,14,259,247,1,1
2018-10-05,13,14,261,250,1,1
2018-10-05,13,14,264,171,1,1
2018-10-05,13,14,273,261,1,1
2018-10-05,13,14,273,262,1,1
2018-10-05,13,15,249,246,1,2
2018-10-05,13,15,262,266,1,1
2018-10-05,14,15,171,264,1,1
2018-10-05,14,15,183,248,1,1
2018-10-05,14,15,246,260,1,1
2018-10-05,14,15,248,183,1,1
2018-10-05,14,15,250,262,1,1
2018-10-05,14,15,254,225,1,1
2018-10-05,14,15,254,248,1,1
2018-10-05,14,15,261,273,1,1
2018-10-05,14,15,265,248,1,1
2018-10-05,14,15,266,262,1,1
2018-10-05,14,16,246,183,1,2
2018-10-05,14,16,247,250,1,2
2018-10-05,14,16,251,171,1,1
2018-10-05,15,4,275,259,1,1
2018-10-05,15,16,247,262,1,1
2018-10-05,15,16,254,248,1,1
2018-10-05,15,16,261,250,1,1
2018-10-05,15,16,262,258,1,1
2018-10-05,15,16,265,254,1,2
2018-10-05,15,16,265,262,1,1
2018-10-05,15,17,183,275,1,1
2018-10-05,15,17,251,248,1,1
2018-10-05,15,17,259,250,1,1
2018-10-05,15,17,275,257,1,1
2018-10-05,16,17,247,256,1,1
2018-10-05,16,17,248,249,1,1
2018-10-05,16,17,249,253,1,1
2018-10-05,16,17,250,258,1,1
2018-10-05,16,17,250,259,1,1
2018-10-05,16,17,253,258,1,1
2018-10-05,16,17,259,266,1,2
2018-10-05,16,17,260,250,1,1
2018-10-05,16,17,261,248,1,2
2018-10-05,16,18,171,264,1,1
2018-10-05,17,18,171,253,1,1
2018-10-05,17,18,248,261,1,2
2018-10-05,17,18,258,247,1,1
2018-10-05,17,18,258,262,1,1
2018-10-05,17,18,260,249,1,1
2018-10-05,17,18,260,257,1,1
2018-10-05,17,18,262,258,1,1
2018-10-05,17,18,266,262,1,1
2018-10-05,18,19,265,260,1,2
2018-10-05,18,19,266,258,1,1
2018-10-05,18,20,249,260,1,1
2018-10-05,18,20,262,266,1,2
2018-10-05,18,20,264,262,1,1
2018-10-05,19,20,249,171,1,1
2018-10-05,19,20,258,261,1,1
2018-10-05,19,20,260,265,1,1
2018-10-05,19,20,262,266,1,2
2018-10-05,19,20,264,171,1,1
2018-10-05,19,20,275,273,1,1
2018-10-05,20,21,256,273,1,1
