started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-09-01 12:43:01.343000+00:00,2021-09-01 12:53:31.672000+00:00,630,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-09-01 12:46:54.166000+00:00,2021-09-01 13:18:08.794000+00:00,1874,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 12:51:10.965000+00:00,2021-09-01 15:52:00.006000+00:00,10849,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 12:56:26.557000+00:00,2021-09-01 13:25:44.087000+00:00,1757,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-09-01 13:02:45.331000+00:00,2021-09-01 13:28:30.182000+00:00,1544,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-09-01 13:13:12.513000+00:00,2021-09-01 13:27:18.211000+00:00,845,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-09-01 13:13:12.731000+00:00,2021-09-01 13:52:04.117000+00:00,2331,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 13:24:41.539000+00:00,2021-09-01 13:27:07.751000+00:00,146,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-09-01 13:27:17.233000+00:00,2021-09-01 13:51:12.269000+00:00,1435,1748,Colinton Road,Near Napier University Merchiston Campus,55.93341635916104,-3.21239711224257,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-09-01 13:27:26.979000+00:00,2021-09-01 13:48:12.781000+00:00,1245,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-09-01 13:29:01.908000+00:00,2021-09-01 14:27:40.045000+00:00,3518,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-09-01 13:32:58.818000+00:00,2021-09-01 14:15:09.426000+00:00,2530,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225
2021-09-01 13:33:27.863000+00:00,2021-09-01 14:27:21.511000+00:00,3233,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-09-01 13:33:31.732000+00:00,2021-09-01 14:15:13.276000+00:00,2501,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225
2021-09-01 13:36:11.201000+00:00,2021-09-01 13:51:24.685000+00:00,913,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298
2021-09-01 13:45:27.864000+00:00,2021-09-01 14:28:21.733000+00:00,2573,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-09-01 13:49:39.634000+00:00,2021-09-01 14:23:23.151000+00:00,2023,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818
2021-09-01 13:49:40.597000+00:00,2021-09-01 14:23:39.592000+00:00,2038,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818
2021-09-01 13:51:06.341000+00:00,2021-09-01 15:15:31.889000+00:00,5065,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064
2021-09-01 13:55:52.008000+00:00,2021-09-01 14:01:25.324000+00:00,333,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1090,Hillside Crescent,East end of Hillside Crescent,55.95787194536338,-3.175888370919665
