name,geometry,lat,lon,category
Fort Kinnaird Management Suite,POINT (-3.10410485 55.93621439999999),55.9362144,-3.10410485,commercial
,POINT (-3.1201135760018825 55.94782381867989),55.94782382,-3.120113576,residential
The Royal High Primary School,POINT (-3.1403258163712495 55.953844513438334),55.95384451,-3.140325816,school
Queen Margaret University,POINT (-3.0739691670053215 55.9309245867735),55.93092459,-3.073969167,university
Parsons Green Primary School,POINT (-3.1437945144169603 55.94827664038328),55.94827664,-3.143794514,school
,POINT (-3.1343744500000006 55.96655135000001),55.96655135,-3.13437445,commercial
Danderhall Primary School,POINT (-3.1099578798821526 55.915708397257205),55.9157084,-3.10995788,school
Frogston Primary School,POINT (-3.1632667582161185 55.89880790757014),55.89880791,-3.163266758,school
,POINT (-3.1459874359680953 55.91409712510656),55.91409713,-3.145987436,residential
Merchiston Castle School,POINT (-3.2520832095120618 55.91205909956891),55.9120591,-3.25208321,school
Gilmerton Primary School,POINT (-3.138053064227033 55.9074496092762),55.90744961,-3.138053064,school
Southfield House,POINT (-3.1504638858994847 55.90918340189152),55.9091834,-3.150463886,residential
Towerbank Primary School,POINT (-3.1128920200487533 55.954759300957576),55.9547593,-3.11289202,school
Paties Road Pavillion,POINT (-3.2518956478721397 55.91436609565391),55.9143661,-3.251895648,commercial
The Mary Erskine School,POINT (-3.251324576768277 55.95226678446852),55.95226678,-3.251324577,school
Tanfield House,POINT (-3.20198621131976 55.96290976481921),55.96290976,-3.201986211,commercial
,POINT (-3.1734727941590606 55.91173912410653),55.91173912,-3.173472794,residential
Stoneyhill Primary School,POINT (-3.071220323882221 55.93669415994409),55.93669416,-3.071220324,school
,POINT (-3.187007465639212 55.94683192788712),55.94683193,-3.187007466,university
Cameron Smail Library,POINT (-3.32216653072328 55.90876592789616),55.90876593,-3.322166531,library
Craigmount High School,POINT (-3.305946297019421 55.944874930293864),55.94487493,-3.305946297,school
,POINT (-3.167801538791148 55.87540101268967),55.87540101,-3.167801539,commercial
,POINT (-3.1550523244346502 55.878163470532904),55.87816347,-3.155052324,residential
Colinton Primary School,POINT (-3.2367220239613115 55.90826680257433),55.9082668,-3.236722024,school
St Mark's RC Primary School,POINT (-3.2295327050455978 55.91130701290447),55.91130701,-3.229532705,school
Bilston Primary School,POINT (-3.184162493788364 55.86914414351637),55.86914414,-3.184162494,school
Canal View Primary School,POINT (-3.28052646846718 55.91590522521951),55.91590523,-3.280526468,school
inkonpaper;Pirate Studios,POINT (-3.2964029499999996 55.92979269999999),55.9297927,-3.29640295,commercial
Nether Currie Primary School,POINT (-3.302666030296573 55.900203105466666),55.90020311,-3.30266603,school
Sighthill Primary School,POINT (-3.2931938812283756 55.91981410720784),55.91981411,-3.293193881,school
Wester Hailes High School,POINT (-3.2904625318632226 55.917321343639195),55.91732134,-3.290462532,school
Piershill Library,POINT (-3.1422678562276953 55.955037288163524),55.95503729,-3.142267856,library
,POINT (-3.2323112673896235 55.92510181853032),55.92510182,-3.232311267,residential
,POINT (-3.226656375301077 55.9322418343602),55.93224183,-3.226656375,residential
,POINT (-3.2268225294022184 55.93211703939396),55.93211704,-3.226822529,residential
,POINT (-3.2326818740289096 55.926835385538325),55.92683539,-3.232681874,commercial
Woodburn House NHS,POINT (-3.202417233501478 55.92747548723899),55.92747549,-3.202417234,hospital
Royal Blind School,POINT (-3.2025408682260657 55.929059709940134),55.92905971,-3.202540868,school
,POINT (-3.218125006985412 55.93382458251706),55.93382458,-3.218125007,residential
,POINT (-3.117997605405907 55.94014958264076),55.94014958,-3.117997605,residential
Duddingston Primary School,POINT (-3.1308090116933744 55.947961022349986),55.94796102,-3.130809012,school
,POINT (-3.1485381254371267 55.920016373268155),55.92001637,-3.148538125,residential
East Craigs Primary School,POINT (-3.301556680792216 55.95143691672213),55.95143692,-3.301556681,school
Western General Hospital (Edinburgh),POINT (-3.235026189043625 55.962298482728784),55.96229848,-3.235026189,hospital
,POINT (-3.2204542980356163 55.931820499222205),55.9318205,-3.220454298,residential
,POINT (-3.2182635608621886 55.9355836998282),55.9355837,-3.218263561,residential
,POINT (-3.2183017588422103 55.93483618299418),55.93483618,-3.218301759,residential
Royal Mile Primary School,POINT (-3.177277892236827 55.951718490146405),55.95171849,-3.177277892,school
Scottish Poetry Library,POINT (-3.1780988657695084 55.95144549737081),55.9514455,-3.178098866,library
Sugarhouse,POINT (-3.1799669737258958 55.951064492103846),55.95106449,-3.179966974,residential
Central Library,POINT (-3.1924953931233393 55.94828811614892),55.94828812,-3.192495393,library
National Library of Scotland,POINT (-3.1917015733152065 55.94857470984755),55.94857471,-3.191701573,library
Newington Library,POINT (-3.179735895200157 55.93208040091534),55.9320804,-3.179735895,library
Morningside Library,POINT (-3.209940930678331 55.92889298044169),55.92889298,-3.209940931,library
Balgreen Library,POINT (-3.2484231343317407 55.93725887445561),55.93725887,-3.248423134,library
McDonald Road Library,POINT (-3.1813889588366866 55.961345622416246),55.96134562,-3.181388959,library
Panmure St Anne's,POINT (-3.185107077628694 55.94913413433188),55.94913413,-3.185107078,school
,POINT (-3.122663005636475 55.93046132113054),55.93046132,-3.122663006,residential
,POINT (-3.1230823037241064 55.93062146502312),55.93062147,-3.123082304,residential
Plumbing Trade Supplies,POINT (-3.174259748654929 55.96177760646891),55.96177761,-3.174259749,commercial
,POINT (-3.192814218090278 55.9489829570275),55.94898296,-3.192814218,commercial
Lloyds Banking Group,POINT (-3.293826553441373 55.927873846733746),55.92787385,-3.293826553,commercial
Trinity Academy,POINT (-3.195046258011767 55.976627728721816),55.97662773,-3.195046258,school
,POINT (-3.223549864265773 55.924307675399724),55.92430768,-3.223549864,residential
,POINT (-3.2223131889604217 55.924333074688626),55.92433307,-3.222313189,residential
,POINT (-3.2231471060886445 55.93061976025939),55.93061976,-3.223147106,residential
,POINT (-3.203816271487973 55.97311729637534),55.9731173,-3.203816271,residential
,POINT (-3.2047039 55.97309250000001),55.9730925,-3.2047039,residential
,POINT (-3.2043861251910593 55.97338398905405),55.97338399,-3.204386125,residential
,POINT (-3.2044026077622942 55.925695724454165),55.92569572,-3.204402608,residential
,POINT (-3.2077392512744067 55.94493711228067),55.94493711,-3.207739251,commercial
,POINT (-3.213561052525273 55.97451667425521),55.97451667,-3.213561053,residential
,POINT (-3.2120993336145753 55.971445131473196),55.97144513,-3.212099334,residential
,POINT (-3.212838691973606 55.97165336901085),55.97165337,-3.212838692,residential
,POINT (-3.2057502913848355 55.976402885612345),55.97640289,-3.205750291,residential
,POINT (-3.1807326447607913 55.938598735427455),55.93859874,-3.180732645,residential
,POINT (-3.180339910407106 55.93792938828596),55.93792939,-3.18033991,residential
,POINT (-3.1789354673228507 55.938958031899),55.93895803,-3.178935467,residential
,POINT (-3.1790057403286336 55.93903254643596),55.93903255,-3.17900574,residential
,POINT (-3.1788848009369497 55.9388965469483),55.93889655,-3.178884801,residential
,POINT (-3.178831939198286 55.93883480539218),55.93883481,-3.178831939,residential
,POINT (-3.178522529930482 55.93908366174433),55.93908366,-3.17852253,residential
,POINT (-3.178603667253734 55.93856534727373),55.93856535,-3.178603667,residential
,POINT (-3.1787786962338487 55.938771909813475),55.93877191,-3.178778696,residential
,POINT (-3.17868503788889 55.938646340988406),55.93864634,-3.178685038,residential
,POINT (-3.1787260859989903 55.9387090428188),55.93870904,-3.178726086,residential
,POINT (-3.17858367621162 55.93872462197329),55.93872462,-3.178583676,residential
,POINT (-3.1807594815029883 55.938756474450045),55.93875647,-3.180759482,residential
,POINT (-3.181044735357569 55.93888026661514),55.93888027,-3.181044735,residential
,POINT (-3.180810723966888 55.938893172828244),55.93889317,-3.180810724,residential
,POINT (-3.181274972035803 55.938872538216614),55.93887254,-3.181274972,residential
,POINT (-3.181552329393878 55.9388642843853),55.93886428,-3.181552329,residential
,POINT (-3.2041129335696596 55.95820474575977),55.95820475,-3.204112934,residential
,POINT (-3.183972910480429 55.943708303917674),55.9437083,-3.18397291,residential
,POINT (-3.183746471936554 55.943719162387275),55.94371916,-3.183746472,residential
,POINT (-3.1841701059720635 55.94372821218209),55.94372821,-3.184170106,residential
